title,company,location,skills,job_desc,skills_list,skills_cleaned
Data Engineer,Microsoft,Chicago,"['SQL', 'AWS', 'Spark', 'Python']","We are looking for a Data Engineer with experience in Python, Spark, SQL.","['aws', 'python', 'spark', 'sql']","aws, python, spark, sql"
Business Analyst,Amazon,Chicago,"['SQL', 'Project Management', 'Business Analysis', 'Excel', 'Power BI']","We are looking for a Business Analyst with experience in Business Analysis, Excel, Project Management.","['business analysis', 'excel', 'power bi', 'project management', 'sql']","business analysis, excel, power bi, project management, sql"
Bi Developer,Amazon,Austin,"['Power BI', 'ETL', 'Data Warehousing', 'SQL', 'Tableau']","We are looking for a BI Developer with experience in Tableau, Power BI, Data Warehousing.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Data Analyst,Google,Boston,"['SQL', 'Excel', 'Python']","We are looking for a Data Analyst with experience in Excel, SQL, Python.","['excel', 'python', 'sql']","excel, python, sql"
Data Engineer,Amazon,Miami,"['Airflow', 'Spark', 'SQL']","We are looking for a Data Engineer with experience in SQL, Airflow, Spark.","['airflow', 'spark', 'sql']","airflow, spark, sql"
Analytics Consultant,Uber,Boston,"['Power BI', 'Client Communication', 'Python']","We are looking for a Analytics Consultant with experience in Power BI, Client Communication, Python.","['client communication', 'power bi', 'python']","client communication, power bi, python"
Bi Developer,Google,Chicago,"['ETL', 'Power BI', 'SQL', 'Tableau']","We are looking for a BI Developer with experience in SQL, ETL, Tableau.","['etl', 'power bi', 'sql', 'tableau']","etl, power bi, sql, tableau"
Business Analyst,Uber,San Francisco,"['Project Management', 'Power BI']","We are looking for a Business Analyst with experience in Power BI, Project Management.","['power bi', 'project management']","power bi, project management"
Bi Developer,Uber,Seattle,"['ETL', 'Tableau', 'SQL']","We are looking for a BI Developer with experience in Tableau, ETL, SQL.","['etl', 'sql', 'tableau']","etl, sql, tableau"
Bi Developer,Ey,Chicago,"['Data Warehousing', 'Tableau', 'Power BI', 'ETL', 'SQL']","We are looking for a BI Developer with experience in SQL, Tableau, Power BI.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Data Engineer,Google,Miami,"['SQL', 'Python']","We are looking for a Data Engineer with experience in Python, SQL.","['python', 'sql']","python, sql"
Analytics Consultant,Amazon,San Francisco,"['Client Communication', 'Excel', 'Power BI']","We are looking for a Analytics Consultant with experience in Power BI, Client Communication, Excel.","['client communication', 'excel', 'power bi']","client communication, excel, power bi"
Data Scientist,Deloitte,Denver,"['Statistics', 'Pandas', 'Machine Learning']","We are looking for a Data Scientist with experience in Machine Learning, Statistics, Pandas.","['machine learning', 'pandas', 'statistics']","machine learning, pandas, statistics"
Bi Developer,Google,Chicago,"['Data Warehousing', 'Power BI', 'Tableau', 'SQL', 'ETL']","We are looking for a BI Developer with experience in Power BI, Tableau, Data Warehousing.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Data Engineer,Ey,Seattle,"['AWS', 'SQL']","We are looking for a Data Engineer with experience in SQL, AWS.","['aws', 'sql']","aws, sql"
Bi Developer,Ey,New York,"['ETL', 'Data Warehousing', 'Tableau', 'Power BI', 'SQL']","We are looking for a BI Developer with experience in SQL, Data Warehousing, ETL.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Data Analyst,Ey,New York,"['Tableau', 'SQL', 'Power BI', 'Python', 'Excel']","We are looking for a Data Analyst with experience in Excel, SQL, Python.","['excel', 'power bi', 'python', 'sql', 'tableau']","excel, power bi, python, sql, tableau"
Data Scientist,Facebook,Seattle,"['SQL', 'Pandas', 'Statistics', 'Machine Learning']","We are looking for a Data Scientist with experience in Statistics, SQL, Machine Learning.","['machine learning', 'pandas', 'sql', 'statistics']","machine learning, pandas, sql, statistics"
Data Analyst,Accenture,Seattle,"['Excel', 'SQL']","We are looking for a Data Analyst with experience in SQL, Excel.","['excel', 'sql']","excel, sql"
Data Analyst,Uber,San Francisco,"['Python', 'Power BI']","We are looking for a Data Analyst with experience in Power BI, Python.","['power bi', 'python']","power bi, python"
Machine Learning Engineer,Google,Los Angeles,"['AWS', 'Machine Learning', 'Python']","We are looking for a Machine Learning Engineer with experience in Python, Machine Learning, AWS.","['aws', 'machine learning', 'python']","aws, machine learning, python"
Analytics Consultant,Facebook,Boston,"['Power BI', 'SQL', 'Excel']","We are looking for a Analytics Consultant with experience in Power BI, SQL, Excel.","['excel', 'power bi', 'sql']","excel, power bi, sql"
Business Analyst,Microsoft,Los Angeles,"['Excel', 'Business Analysis', 'Project Management']","We are looking for a Business Analyst with experience in Business Analysis, Project Management, Excel.","['business analysis', 'excel', 'project management']","business analysis, excel, project management"
Machine Learning Engineer,Microsoft,Denver,"['Python', 'TensorFlow', 'Machine Learning', 'PyTorch']","We are looking for a Machine Learning Engineer with experience in TensorFlow, Machine Learning, Python.","['machine learning', 'python', 'pytorch', 'tensorflow']","machine learning, python, pytorch, tensorflow"
Ai Engineer,Google,Los Angeles,"['PyTorch', 'Python', 'AWS', 'Deep Learning', 'NLP']","We are looking for a AI Engineer with experience in PyTorch, Deep Learning, Python.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Data Engineer,Deloitte,Chicago,"['Airflow', 'Spark']","We are looking for a Data Engineer with experience in Spark, Airflow.","['airflow', 'spark']","airflow, spark"
Machine Learning Engineer,Facebook,Boston,"['TensorFlow', 'Python', 'PyTorch']","We are looking for a Machine Learning Engineer with experience in TensorFlow, PyTorch, Python.","['python', 'pytorch', 'tensorflow']","python, pytorch, tensorflow"
Data Scientist,Ibm,Boston,"['Statistics', 'Python', 'Pandas', 'Machine Learning', 'SQL']","We are looking for a Data Scientist with experience in Statistics, Python, Pandas.","['machine learning', 'pandas', 'python', 'sql', 'statistics']","machine learning, pandas, python, sql, statistics"
Bi Developer,Uber,Austin,"['Tableau', 'Data Warehousing', 'Power BI']","We are looking for a BI Developer with experience in Tableau, Power BI, Data Warehousing.","['data warehousing', 'power bi', 'tableau']","data warehousing, power bi, tableau"
Business Analyst,Salesforce,New York,"['Business Analysis', 'Project Management', 'Excel', 'SQL', 'Power BI']","We are looking for a Business Analyst with experience in Excel, Project Management, Power BI.","['business analysis', 'excel', 'power bi', 'project management', 'sql']","business analysis, excel, power bi, project management, sql"
Analytics Consultant,Facebook,Atlanta,"['SQL', 'Power BI', 'Excel']","We are looking for a Analytics Consultant with experience in SQL, Power BI, Excel.","['excel', 'power bi', 'sql']","excel, power bi, sql"
Data Analyst,Uber,Atlanta,"['Power BI', 'Python', 'Tableau', 'SQL', 'Excel']","We are looking for a Data Analyst with experience in Tableau, SQL, Excel.","['excel', 'power bi', 'python', 'sql', 'tableau']","excel, power bi, python, sql, tableau"
Analytics Consultant,Amazon,Chicago,"['Python', 'Client Communication', 'Excel']","We are looking for a Analytics Consultant with experience in Python, Excel, Client Communication.","['client communication', 'excel', 'python']","client communication, excel, python"
Machine Learning Engineer,Accenture,New York,"['AWS', 'Python']","We are looking for a Machine Learning Engineer with experience in AWS, Python.","['aws', 'python']","aws, python"
Data Analyst,Google,Atlanta,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI']","We are looking for a Data Analyst with experience in Power BI, Python, SQL.","['excel', 'power bi', 'python', 'sql', 'tableau']","excel, power bi, python, sql, tableau"
Data Scientist,Ibm,New York,"['Machine Learning', 'Pandas']","We are looking for a Data Scientist with experience in Pandas, Machine Learning.","['machine learning', 'pandas']","machine learning, pandas"
Bi Developer,Accenture,Denver,"['SQL', 'Data Warehousing', 'Power BI']","We are looking for a BI Developer with experience in Data Warehousing, Power BI, SQL.","['data warehousing', 'power bi', 'sql']","data warehousing, power bi, sql"
Analytics Consultant,Amazon,Chicago,"['SQL', 'Power BI']","We are looking for a Analytics Consultant with experience in SQL, Power BI.","['power bi', 'sql']","power bi, sql"
Data Scientist,Amazon,San Francisco,"['Statistics', 'Pandas', 'Python']","We are looking for a Data Scientist with experience in Python, Pandas, Statistics.","['pandas', 'python', 'statistics']","pandas, python, statistics"
Business Analyst,Uber,Los Angeles,"['Power BI', 'Excel', 'SQL']","We are looking for a Business Analyst with experience in SQL, Excel, Power BI.","['excel', 'power bi', 'sql']","excel, power bi, sql"
Ai Engineer,Microsoft,Seattle,"['PyTorch', 'AWS', 'Python', 'NLP', 'Deep Learning']","We are looking for a AI Engineer with experience in PyTorch, Python, Deep Learning.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Data Engineer,Salesforce,Chicago,"['Spark', 'AWS', 'Python', 'SQL', 'Airflow']","We are looking for a Data Engineer with experience in SQL, Spark, Airflow.","['airflow', 'aws', 'python', 'spark', 'sql']","airflow, aws, python, spark, sql"
Data Analyst,Ibm,Chicago,"['Power BI', 'Excel', 'Python', 'SQL']","We are looking for a Data Analyst with experience in Power BI, SQL, Python.","['excel', 'power bi', 'python', 'sql']","excel, power bi, python, sql"
Machine Learning Engineer,Amazon,Boston,"['AWS', 'PyTorch']","We are looking for a Machine Learning Engineer with experience in PyTorch, AWS.","['aws', 'pytorch']","aws, pytorch"
Bi Developer,Salesforce,Denver,"['Data Warehousing', 'Power BI', 'ETL', 'Tableau', 'SQL']","We are looking for a BI Developer with experience in SQL, ETL, Power BI.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Business Analyst,Microsoft,Los Angeles,"['Business Analysis', 'SQL', 'Project Management']","We are looking for a Business Analyst with experience in Business Analysis, Project Management, SQL.","['business analysis', 'project management', 'sql']","business analysis, project management, sql"
Data Scientist,Salesforce,Boston,"['Pandas', 'SQL']","We are looking for a Data Scientist with experience in SQL, Pandas.","['pandas', 'sql']","pandas, sql"
Analytics Consultant,Microsoft,Chicago,"['Excel', 'Client Communication', 'Power BI', 'Python', 'SQL']","We are looking for a Analytics Consultant with experience in SQL, Power BI, Excel.","['client communication', 'excel', 'power bi', 'python', 'sql']","client communication, excel, power bi, python, sql"
Business Analyst,Ibm,Boston,"['Excel', 'Business Analysis', 'SQL']","We are looking for a Business Analyst with experience in Business Analysis, Excel, SQL.","['business analysis', 'excel', 'sql']","business analysis, excel, sql"
Data Scientist,Ey,Seattle,"['SQL', 'Pandas', 'Python', 'Statistics']","We are looking for a Data Scientist with experience in Pandas, Statistics, Python.","['pandas', 'python', 'sql', 'statistics']","pandas, python, sql, statistics"
Ai Engineer,Microsoft,Miami,"['AWS', 'Python', 'NLP', 'PyTorch', 'Deep Learning']","We are looking for a AI Engineer with experience in NLP, PyTorch, Python.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Ai Engineer,Salesforce,San Francisco,"['PyTorch', 'AWS', 'Deep Learning', 'Python', 'NLP']","We are looking for a AI Engineer with experience in AWS, NLP, PyTorch.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Data Engineer,Facebook,San Francisco,"['AWS', 'Airflow']","We are looking for a Data Engineer with experience in Airflow, AWS.","['airflow', 'aws']","airflow, aws"
Ai Engineer,Uber,Chicago,"['Python', 'Deep Learning', 'PyTorch', 'NLP', 'AWS']","We are looking for a AI Engineer with experience in AWS, Deep Learning, PyTorch.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Bi Developer,Deloitte,Austin,"['ETL', 'Tableau', 'SQL', 'Data Warehousing', 'Power BI']","We are looking for a BI Developer with experience in ETL, Power BI, SQL.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Data Scientist,Ibm,Boston,"['Statistics', 'Python']","We are looking for a Data Scientist with experience in Python, Statistics.","['python', 'statistics']","python, statistics"
Analytics Consultant,Microsoft,Boston,"['Excel', 'Python']","We are looking for a Analytics Consultant with experience in Python, Excel.","['excel', 'python']","excel, python"
Machine Learning Engineer,Ey,Atlanta,"['PyTorch', 'Machine Learning']","We are looking for a Machine Learning Engineer with experience in PyTorch, Machine Learning.","['machine learning', 'pytorch']","machine learning, pytorch"
Bi Developer,Uber,Austin,"['SQL', 'Data Warehousing', 'ETL', 'Tableau']","We are looking for a BI Developer with experience in Tableau, ETL, Data Warehousing.","['data warehousing', 'etl', 'sql', 'tableau']","data warehousing, etl, sql, tableau"
Bi Developer,Deloitte,Miami,"['ETL', 'SQL']","We are looking for a BI Developer with experience in SQL, ETL.","['etl', 'sql']","etl, sql"
Data Engineer,Ibm,Miami,"['Python', 'SQL', 'Spark', 'AWS', 'Airflow']","We are looking for a Data Engineer with experience in SQL, Python, AWS.","['airflow', 'aws', 'python', 'spark', 'sql']","airflow, aws, python, spark, sql"
Machine Learning Engineer,Salesforce,Boston,"['Python', 'PyTorch', 'Machine Learning', 'TensorFlow', 'AWS']","We are looking for a Machine Learning Engineer with experience in PyTorch, Python, TensorFlow.","['aws', 'machine learning', 'python', 'pytorch', 'tensorflow']","aws, machine learning, python, pytorch, tensorflow"
Data Analyst,Uber,Chicago,"['Power BI', 'Excel', 'Tableau', 'SQL']","We are looking for a Data Analyst with experience in Power BI, SQL, Excel.","['excel', 'power bi', 'sql', 'tableau']","excel, power bi, sql, tableau"
Business Analyst,Microsoft,San Francisco,"['Excel', 'Project Management', 'SQL', 'Business Analysis']","We are looking for a Business Analyst with experience in SQL, Excel, Project Management.","['business analysis', 'excel', 'project management', 'sql']","business analysis, excel, project management, sql"
Data Analyst,Ey,Seattle,"['Python', 'Tableau', 'Power BI', 'Excel']","We are looking for a Data Analyst with experience in Power BI, Python, Excel.","['excel', 'power bi', 'python', 'tableau']","excel, power bi, python, tableau"
Business Analyst,Ibm,Austin,"['Project Management', 'Power BI', 'Business Analysis', 'SQL', 'Excel']","We are looking for a Business Analyst with experience in Business Analysis, Power BI, Excel.","['business analysis', 'excel', 'power bi', 'project management', 'sql']","business analysis, excel, power bi, project management, sql"
Data Scientist,Ey,Atlanta,"['SQL', 'Machine Learning']","We are looking for a Data Scientist with experience in Machine Learning, SQL.","['machine learning', 'sql']","machine learning, sql"
Ai Engineer,Microsoft,Boston,"['AWS', 'PyTorch', 'NLP', 'Deep Learning']","We are looking for a AI Engineer with experience in PyTorch, NLP, AWS.","['aws', 'deep learning', 'nlp', 'pytorch']","aws, deep learning, nlp, pytorch"
Business Analyst,Microsoft,Atlanta,"['Power BI', 'Excel', 'Project Management', 'Business Analysis']","We are looking for a Business Analyst with experience in Power BI, Project Management, Excel.","['business analysis', 'excel', 'power bi', 'project management']","business analysis, excel, power bi, project management"
Bi Developer,Ibm,Denver,"['SQL', 'Data Warehousing', 'Tableau', 'ETL', 'Power BI']","We are looking for a BI Developer with experience in Tableau, Data Warehousing, ETL.","['data warehousing', 'etl', 'power bi', 'sql', 'tableau']","data warehousing, etl, power bi, sql, tableau"
Ai Engineer,Ibm,San Francisco,"['Deep Learning', 'NLP']","We are looking for a AI Engineer with experience in Deep Learning, NLP.","['deep learning', 'nlp']","deep learning, nlp"
Data Engineer,Salesforce,Denver,"['Spark', 'Python', 'Airflow', 'AWS', 'SQL']","We are looking for a Data Engineer with experience in Airflow, SQL, Python.","['airflow', 'aws', 'python', 'spark', 'sql']","airflow, aws, python, spark, sql"
Data Engineer,Salesforce,Austin,"['AWS', 'Spark']","We are looking for a Data Engineer with experience in Spark, AWS.","['aws', 'spark']","aws, spark"
Data Engineer,Uber,San Francisco,"['AWS', 'Airflow']","We are looking for a Data Engineer with experience in AWS, Airflow.","['airflow', 'aws']","airflow, aws"
Analytics Consultant,Microsoft,Boston,"['Excel', 'Power BI', 'SQL', 'Python']","We are looking for a Analytics Consultant with experience in Python, Excel, SQL.","['excel', 'power bi', 'python', 'sql']","excel, power bi, python, sql"
Ai Engineer,Ey,Denver,"['AWS', 'Python', 'Deep Learning', 'PyTorch', 'NLP']","We are looking for a AI Engineer with experience in Deep Learning, NLP, AWS.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Analytics Consultant,Amazon,Miami,"['Client Communication', 'Excel', 'Python', 'Power BI']","We are looking for a Analytics Consultant with experience in Power BI, Client Communication, Excel.","['client communication', 'excel', 'power bi', 'python']","client communication, excel, power bi, python"
Data Engineer,Ibm,Atlanta,"['Airflow', 'Python']","We are looking for a Data Engineer with experience in Airflow, Python.","['airflow', 'python']","airflow, python"
Analytics Consultant,Deloitte,San Francisco,"['SQL', 'Excel', 'Client Communication', 'Power BI']","We are looking for a Analytics Consultant with experience in SQL, Client Communication, Power BI.","['client communication', 'excel', 'power bi', 'sql']","client communication, excel, power bi, sql"
Data Engineer,Salesforce,Atlanta,"['Python', 'Airflow', 'AWS']","We are looking for a Data Engineer with experience in AWS, Python, Airflow.","['airflow', 'aws', 'python']","airflow, aws, python"
Business Analyst,Google,Austin,"['Project Management', 'Power BI', 'Business Analysis', 'SQL']","We are looking for a Business Analyst with experience in Business Analysis, SQL, Project Management.","['business analysis', 'power bi', 'project management', 'sql']","business analysis, power bi, project management, sql"
Data Scientist,Deloitte,Seattle,"['SQL', 'Statistics', 'Python', 'Machine Learning', 'Pandas']","We are looking for a Data Scientist with experience in Pandas, SQL, Machine Learning.","['machine learning', 'pandas', 'python', 'sql', 'statistics']","machine learning, pandas, python, sql, statistics"
Data Engineer,Google,Los Angeles,"['Airflow', 'AWS']","We are looking for a Data Engineer with experience in AWS, Airflow.","['airflow', 'aws']","airflow, aws"
Data Analyst,Ey,Denver,"['Excel', 'Python']","We are looking for a Data Analyst with experience in Excel, Python.","['excel', 'python']","excel, python"
Data Scientist,Microsoft,Miami,"['SQL', 'Statistics', 'Python', 'Pandas', 'Machine Learning']","We are looking for a Data Scientist with experience in Statistics, Machine Learning, SQL.","['machine learning', 'pandas', 'python', 'sql', 'statistics']","machine learning, pandas, python, sql, statistics"
Machine Learning Engineer,Microsoft,Denver,"['PyTorch', 'AWS', 'Python', 'Machine Learning']","We are looking for a Machine Learning Engineer with experience in AWS, PyTorch, Machine Learning.","['aws', 'machine learning', 'python', 'pytorch']","aws, machine learning, python, pytorch"
Ai Engineer,Microsoft,Austin,"['NLP', 'AWS', 'PyTorch']","We are looking for a AI Engineer with experience in NLP, PyTorch, AWS.","['aws', 'nlp', 'pytorch']","aws, nlp, pytorch"
Data Analyst,Google,Chicago,"['Tableau', 'Python']","We are looking for a Data Analyst with experience in Tableau, Python.","['python', 'tableau']","python, tableau"
Business Analyst,Accenture,Denver,"['SQL', 'Business Analysis', 'Power BI', 'Excel', 'Project Management']","We are looking for a Business Analyst with experience in Excel, Project Management, SQL.","['business analysis', 'excel', 'power bi', 'project management', 'sql']","business analysis, excel, power bi, project management, sql"
